seed,total_evac_time
478163327,2277.0
107420369,2274.0
1181241943,1811.0
1051802512,1788.0
958682846,2140.0
599310825,1932.0
440213415,2456.0
373399426,2053.0
1812140441,2203.0
136505587,2281.0
127978094,2949.0
402418010,1746.0
939042955,2049.0
999270936,2167.0
113971123,2869.0
854001193,2302.0
1801823908,1823.0
946785248,2144.0
1929338154,2220.0
1194819984,1569.0
27911967,2305.0
685731524,2648.0
1815115025,2224.0
1461364854,1820.0
1193448329,2286.0
667779376,2177.0
924765563,1989.0
1445662585,1739.0
438989805,1946.0
398340369,2197.0
1631775357,2275.0
415393687,2578.0
1541804686,2008.0
1477278577,1734.0
1136108454,2058.0
186618211,2168.0
1973214822,2291.0
536124280,2623.0
1625792787,1954.0
338444264,1875.0
1259191105,2533.0
1553210608,1949.0
825873196,1843.0
298737106,2238.0
196814233,2160.0
978815630,1788.0
1242911821,2310.0
342703921,2273.0
999829240,2090.0
433797840,1929.0
1632629719,1833.0
1193887545,2335.0
1947382419,1571.0
1566942273,2180.0
698594025,1575.0
1589915144,2039.0
1525876051,1911.0
899825838,2230.0
1146660997,2204.0
306671447,2391.0
735034881,2174.0
1051454923,1921.0
701808367,1499.0
1985392498,1838.0
1629748727,1976.0
1159417075,1398.0
943239974,1868.0
1392783743,1576.0
240251661,1947.0
983753977,2587.0
137869475,2029.0
1354860540,2228.0
1722989659,2289.0
1149938334,2503.0
284277889,2221.0
906164396,3039.0
1351531223,2930.0
913224047,2768.0
2144181937,1951.0
1699226064,2049.0
1970753705,2118.0
613628803,2138.0
1137651678,1834.0
599707677,1647.0
1059257080,1284.0
1128466620,1727.0
1840109255,2226.0
1715412119,2192.0
1554762903,2609.0
941975480,1873.0
594130308,2091.0
2119634399,2043.0
390452952,2456.0
202363285,2127.0
470939445,2055.0
656448479,1703.0
687117441,3074.0
1813163240,2100.0
272849424,1662.0
1652563013,2078.0
