seed,total_evac_time
478163327,3249.0
107420369,3153.0
1181241943,2978.0
1051802512,3182.0
958682846,4027.0
599310825,3618.0
440213415,3276.0
373399426,3824.0
1812140441,4088.0
136505587,3219.0
127978094,3670.0
402418010,3957.0
939042955,3655.0
999270936,3184.0
113971123,4035.0
854001193,3586.0
1801823908,3877.0
946785248,3138.0
1929338154,3236.0
1194819984,3473.0
27911967,3929.0
685731524,3456.0
1815115025,4187.0
1461364854,3931.0
1193448329,3860.0
667779376,4086.0
924765563,3671.0
1445662585,3044.0
438989805,3694.0
398340369,3894.0
1631775357,4163.0
415393687,3313.0
1541804686,3701.0
1477278577,3091.0
1136108454,3892.0
186618211,3123.0
1973214822,3711.0
536124280,3388.0
1625792787,3766.0
338444264,3517.0
1259191105,3020.0
1553210608,3679.0
825873196,3809.0
298737106,3955.0
196814233,3753.0
978815630,3889.0
1242911821,3363.0
342703921,3577.0
999829240,3864.0
433797840,3933.0
1632629719,3959.0
1193887545,3527.0
1947382419,3112.0
1566942273,3531.0
698594025,2743.0
1589915144,3617.0
1525876051,4374.0
899825838,3670.0
1146660997,3543.0
306671447,3734.0
735034881,4346.0
1051454923,3766.0
701808367,3783.0
1985392498,3035.0
1629748727,3658.0
1159417075,3358.0
943239974,3178.0
1392783743,3869.0
240251661,2987.0
983753977,3678.0
137869475,3349.0
1354860540,3641.0
1722989659,3441.0
1149938334,4180.0
284277889,3711.0
906164396,3879.0
1351531223,3690.0
913224047,3814.0
2144181937,3218.0
1699226064,3658.0
1970753705,2903.0
613628803,3276.0
1137651678,3339.0
599707677,3646.0
1059257080,3779.0
1128466620,3300.0
1840109255,3103.0
1715412119,3703.0
1554762903,3934.0
941975480,3508.0
594130308,3343.0
2119634399,4059.0
390452952,2938.0
202363285,3576.0
470939445,3415.0
656448479,3085.0
687117441,4616.0
1813163240,3593.0
272849424,3896.0
1652563013,4028.0
