seed,total_evac_time
478163327,1865.0
107420369,2891.0
1181241943,2076.0
1051802512,1762.0
958682846,1909.0
599310825,1642.0
440213415,2741.0
373399426,1916.0
1812140441,1793.0
136505587,1887.0
127978094,2022.0
402418010,2244.0
939042955,2013.0
999270936,1888.0
113971123,2664.0
854001193,1607.0
1801823908,2273.0
946785248,2374.0
1929338154,1184.0
1194819984,2037.0
27911967,1585.0
685731524,2151.0
1815115025,2146.0
1461364854,2124.0
1193448329,1941.0
667779376,2025.0
924765563,1781.0
1445662585,1995.0
438989805,1916.0
398340369,2162.0
1631775357,2862.0
415393687,2361.0
1541804686,1580.0
1477278577,2154.0
1136108454,2330.0
186618211,1529.0
1973214822,2410.0
536124280,2021.0
1625792787,2191.0
338444264,1742.0
1259191105,1576.0
1553210608,2097.0
825873196,1763.0
298737106,2200.0
196814233,1984.0
978815630,1640.0
1242911821,2058.0
342703921,2360.0
999829240,1921.0
433797840,2178.0
1632629719,1965.0
1193887545,2246.0
1947382419,1852.0
1566942273,1925.0
698594025,1093.0
1589915144,1535.0
1525876051,2072.0
899825838,2103.0
1146660997,2376.0
306671447,2340.0
735034881,1782.0
1051454923,1674.0
701808367,2372.0
1985392498,1925.0
1629748727,2221.0
1159417075,2199.0
943239974,1922.0
1392783743,1816.0
240251661,2299.0
983753977,2734.0
137869475,1959.0
1354860540,1623.0
1722989659,1570.0
1149938334,1713.0
284277889,1966.0
906164396,2707.0
1351531223,2015.0
913224047,2160.0
2144181937,2472.0
1699226064,2561.0
1970753705,3055.0
613628803,2063.0
1137651678,1375.0
599707677,1704.0
1059257080,1836.0
1128466620,1807.0
1840109255,1917.0
1715412119,2174.0
1554762903,2227.0
941975480,1840.0
594130308,2460.0
2119634399,1828.0
390452952,2544.0
202363285,1850.0
470939445,1710.0
656448479,2487.0
687117441,2438.0
1813163240,2219.0
272849424,2536.0
1652563013,1903.0
