seed,total_evac_time
478163327,783.0
107420369,938.0
1181241943,986.0
1051802512,751.0
958682846,625.0
599310825,593.0
440213415,956.0
373399426,745.0
1812140441,768.0
136505587,891.0
127978094,896.0
402418010,820.0
939042955,980.0
999270936,1305.0
113971123,996.0
854001193,652.0
1801823908,679.0
946785248,567.0
1929338154,705.0
1194819984,661.0
27911967,841.0
685731524,620.0
1815115025,816.0
1461364854,713.0
1193448329,792.0
667779376,658.0
924765563,1483.0
1445662585,732.0
438989805,689.0
398340369,688.0
1631775357,845.0
415393687,701.0
1541804686,778.0
1477278577,625.0
1136108454,684.0
186618211,636.0
1973214822,1129.0
536124280,677.0
1625792787,611.0
338444264,646.0
1259191105,1049.0
1553210608,731.0
825873196,638.0
298737106,677.0
196814233,759.0
978815630,867.0
1242911821,751.0
342703921,739.0
999829240,983.0
433797840,1252.0
1632629719,757.0
1193887545,960.0
1947382419,630.0
1566942273,961.0
698594025,735.0
1589915144,688.0
1525876051,863.0
899825838,916.0
1146660997,656.0
306671447,1733.0
735034881,844.0
1051454923,768.0
701808367,675.0
1985392498,814.0
1629748727,707.0
1159417075,712.0
943239974,626.0
1392783743,632.0
240251661,834.0
983753977,1183.0
137869475,675.0
1354860540,1070.0
1722989659,643.0
1149938334,600.0
284277889,736.0
906164396,731.0
1351531223,717.0
913224047,918.0
2144181937,684.0
1699226064,841.0
1970753705,641.0
613628803,862.0
1137651678,653.0
599707677,705.0
1059257080,676.0
1128466620,635.0
1840109255,773.0
1715412119,667.0
1554762903,1182.0
941975480,919.0
594130308,680.0
2119634399,1088.0
390452952,1087.0
202363285,619.0
470939445,914.0
656448479,854.0
687117441,1032.0
1813163240,837.0
272849424,820.0
1652563013,690.0
